id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,label
462,b,24.08,0.875,u,g,m,v,0.085,f,t,4,f,g,254,1950,-
463,b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,360,0,-
464,a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,200,18,-
465,a,23,1.835,u,g,j,j,0,f,t,1,f,g,200,53,-
466,a,27.58,3,u,g,m,v,2.79,f,t,1,t,g,280,10,-
467,b,31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,160,41,-
468,a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,0,33,-
469,b,22.08,2.335,u,g,k,v,0.75,f,f,0,f,g,180,0,-
470,b,16.33,4.085,u,g,i,h,0.415,f,f,0,t,g,120,0,-
471,a,21.92,11.665,u,g,k,h,0.085,f,f,0,f,g,320,5,-
472,b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,140,100,-
473,b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,60,100,-
474,b,19.17,4,y,p,i,v,1,f,f,0,t,g,360,1000,-
475,b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,0,44,-
476,b,26.75,2,u,g,d,v,0.75,f,f,0,t,g,80,0,-
477,b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,220,5,-
478,b,39.17,2.5,y,p,i,h,10,f,f,0,t,s,200,0,-
479,b,22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,0,0,-
480,?,26.5,2.71,y,p,?,?,0.085,f,f,0,f,s,80,0,-
481,a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,240,35,-
482,b,23.5,3.165,y,p,k,v,0.415,f,t,1,t,g,280,80,-
483,a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,0,10,-
484,b,23.75,0.415,y,p,c,v,0.04,f,t,2,f,g,128,6,-
485,b,34.67,1.08,u,g,m,v,1.165,f,f,0,f,s,28,0,-
486,b,74.83,19,y,p,ff,ff,0.04,f,t,2,f,g,0,351,-
487,b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,216,2100,-
488,b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,120,475,-
489,b,18.83,3.54,y,p,ff,ff,0,f,f,0,t,g,180,1,-
490,?,45.33,1,u,g,q,v,0.125,f,f,0,t,g,263,0,-
491,a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333,892,+
492,b,24.17,0.875,u,g,q,v,4.625,t,t,2,t,g,520,2000,+
493,b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,240,4607,+
494,a,20.5,11.835,u,g,c,h,6,t,f,0,f,g,340,0,+
495,a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,240,0,+
496,b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120,2206,+
497,a,25,0.875,u,g,x,h,1.04,t,f,0,t,g,160,5860,+
498,b,20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,40,28,+
499,b,25.75,0.5,u,g,c,v,1.46,t,t,5,t,g,312,0,+
500,b,20.42,7,u,g,c,v,1.625,t,t,3,f,g,200,1391,+
501,b,?,4,u,g,x,v,5,t,t,3,t,g,290,2279,+
502,b,39,5,u,g,cc,v,3.5,t,t,10,t,g,0,0,+
503,a,64.08,0.165,u,g,ff,ff,0,t,t,1,f,g,232,100,+
504,b,28.25,5.125,u,g,x,v,4.75,t,t,2,f,g,420,7,+
505,a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371,0,+
506,b,31.33,19.5,u,g,c,v,7,t,t,16,f,g,0,5000,+
507,a,18.92,9,u,g,aa,v,0.75,t,t,2,f,g,88,591,+
508,a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,0,500,+
509,a,30.67,12,u,g,c,v,2,t,t,1,f,g,220,19,+
510,b,21,4.79,y,p,w,v,2.25,t,t,1,t,g,80,300,+
511,b,13.75,4,y,p,w,v,1.75,t,t,2,t,g,120,1000,+
512,a,46,4,u,g,j,j,0,t,f,0,f,g,100,960,+
513,a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,0,0,+
514,b,20.25,9.96,u,g,e,dd,0,t,f,0,f,g,0,0,+
515,b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0,0,+
516,b,?,10.5,u,g,x,v,6.5,t,f,0,f,g,0,0,+
517,a,60.92,5,u,g,aa,v,4,t,t,4,f,g,0,99,+
518,b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352,690,+
519,a,28.17,0.375,u,g,q,v,0.585,t,t,4,f,g,80,0,+
520,b,39.17,1.71,u,g,x,v,0.125,t,t,5,t,g,480,0,+
521,?,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160,234,+
522,a,30,5.29,u,g,e,dd,2.25,t,t,5,t,g,99,500,+
523,b,22.83,3,u,g,m,v,1.29,t,t,1,f,g,260,800,+
524,a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80,990,-
525,a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440,0,-
526,b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140,0,-
527,b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,160,0,-
528,a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,252,2197,-
529,a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100,50,-
530,b,43.25,25.21,u,g,q,h,0.21,t,t,1,f,g,760,90,-
531,a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,360,1,-
532,a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400,0,-
533,b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560,0,-
534,b,40.92,0.835,u,g,ff,ff,0,t,f,0,f,g,130,1,-
535,b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,523,0,-
536,a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,320,0,-
537,a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,80,0,-
538,b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,680,0,-
539,b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163,0,-
540,b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,0,340,-
541,b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,100,20,-
542,b,42.75,3,u,g,i,bb,1,t,f,0,f,g,0,200,-
543,b,19.67,10,y,p,k,h,0.835,t,f,0,t,g,140,0,-
544,b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,200,0,-
545,b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132,28,-
546,b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,0,0,-
547,b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,208,347,-
548,b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200,327,+
549,b,33.17,1,u,g,x,v,0.75,t,t,7,t,g,340,4071,+
550,b,48.33,12,u,g,m,v,16,t,f,0,f,s,110,0,+
551,b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0,109,+
552,b,51.33,10,u,g,i,bb,0,t,t,11,f,g,0,1249,+
553,b,34.75,15,u,g,r,n,5.375,t,t,9,t,g,0,134,+
554,b,38.58,3.335,u,g,w,v,4,t,t,14,f,g,383,1344,+
555,a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0,321,+
556,b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,220,948,+
557,b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330,0,+
558,a,32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,120,2079,+
559,b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,0,3000,+
560,a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140,2384,+
561,a,25,12.33,u,g,cc,h,3.5,t,t,6,f,g,400,458,+
562,b,26.75,1.125,u,g,x,h,1.25,t,f,0,f,g,0,5298,+
563,b,23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,422,200,+
564,b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120,0,+
565,b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92,0,+
566,a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,100,0,+
567,b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,290,284,+
568,a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,360,0,+
569,b,43.08,0.375,y,p,c,v,0.375,t,t,8,t,g,300,162,+
570,a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0,1583,+
571,b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60,58,+
572,b,21,3,y,p,d,v,1.085,t,t,8,t,g,160,1,+
573,b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840,59,+
574,a,65.17,14,u,g,ff,ff,0,t,t,11,t,g,0,1400,+
575,a,20.33,10,u,g,c,h,1,t,t,4,f,g,50,1465,+
576,b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,432,8000,+
577,b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32,540,+
578,b,25.17,6,u,g,c,v,1,t,t,3,f,g,0,0,+
579,b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186,4700,+
580,b,39.08,6,u,g,m,v,1.29,t,t,5,t,g,108,1097,+
581,b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,303,3290,+
582,b,41,0.04,u,g,e,v,0.04,f,t,1,f,s,560,0,+
583,b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225,0,+
584,b,32.67,9,y,p,w,h,5.25,t,f,0,t,g,154,0,+
585,a,28.08,15,y,p,e,z,0,t,f,0,f,g,0,13212,+
586,b,73.42,17.75,u,g,ff,ff,0,t,f,0,t,g,0,0,+
587,b,64.08,20,u,g,x,h,17.5,t,t,9,t,g,0,1000,+
588,b,51.58,15,u,g,c,v,8.5,t,t,9,f,g,0,0,+
589,b,26.67,1.75,y,p,c,v,1,t,t,5,t,g,160,5777,+
590,b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96,5124,+
591,b,30.17,6.5,u,g,cc,v,3.125,t,t,8,f,g,330,1200,+
592,b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,312,150,+
593,b,23.17,0,?,?,?,?,0,f,f,0,f,p,?,0,+
594,b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,290,6,+
595,b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,280,0,+
596,b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349,23,+
597,a,46.08,3,u,g,c,v,2.375,t,t,8,t,g,396,4159,+
598,a,21.5,6,u,g,aa,v,2.5,t,t,3,f,g,80,918,+
599,?,20.08,0.125,u,g,q,v,1,f,t,1,f,g,240,768,+
600,b,20.5,2.415,u,g,c,v,2,t,t,11,t,g,200,3000,+
601,a,29.5,0.46,u,g,k,v,0.54,t,t,4,f,g,380,500,+
602,?,42.25,1.75,y,p,?,?,0,f,f,0,t,g,150,1,-
603,b,29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,224,0,-
604,b,20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,200,0,-
605,b,23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,180,0,-
606,a,29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,280,0,-
607,b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0,0,+
608,b,32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,232,0,-
609,b,?,0.04,y,p,d,v,4.25,f,f,0,t,g,460,0,-
610,b,47.83,4.165,u,g,x,bb,0.085,f,f,0,t,g,520,0,-
611,b,20,1.25,y,p,k,v,0.125,f,f,0,f,g,140,4,-
612,b,27.58,3.25,y,p,q,h,5.085,f,t,2,t,g,369,1,-
613,b,22,0.79,u,g,w,v,0.29,f,t,1,f,g,420,283,-
614,b,19.33,10.915,u,g,c,bb,0.585,f,t,2,t,g,200,7,-
615,a,38.33,4.415,u,g,c,v,0.125,f,f,0,f,g,160,0,-
616,b,29.42,1.25,u,g,c,h,0.25,f,t,2,t,g,400,108,-
617,b,22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,400,9,-
618,b,32.25,14,y,p,ff,ff,0,f,t,2,f,g,160,1,-
619,b,29.58,4.75,u,g,m,v,2,f,t,1,t,g,460,68,-
620,b,18.42,10.415,y,p,aa,v,0.125,t,f,0,f,g,120,375,-
621,b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,160,10,-
622,b,22.67,0.165,u,g,c,j,2.25,f,f,0,t,s,0,0,+
623,a,25.58,0,?,?,?,?,0,f,f,0,f,p,?,0,+
624,b,18.83,0,u,g,q,v,0.665,f,f,0,f,g,160,1,-
625,b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,160,0,-
626,b,23.75,12,u,g,c,v,2.085,f,f,0,f,s,80,0,-
627,b,22,7.835,y,p,i,bb,0.165,f,f,0,t,g,?,0,-
628,b,36.08,2.54,u,g,ff,ff,0,f,f,0,f,g,0,1000,-
629,b,29.25,13,u,g,d,h,0.5,f,f,0,f,g,228,0,-
630,a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,220,5,-
631,a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120,809,-
632,a,27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,272,108,-
633,a,38.75,1.5,u,g,ff,ff,0,f,f,0,f,g,76,0,-
634,b,32.42,2.165,y,p,k,ff,0,f,f,0,f,g,120,0,-
635,a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240,4,-
636,b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,160,587,-
637,b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130,0,-
638,b,19.5,9.585,u,g,aa,v,0.79,f,f,0,f,g,80,350,-
639,b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,100,0,-
640,b,35.58,0.75,u,g,k,v,1.5,f,f,0,t,g,231,0,-
641,b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,232,200,-
642,?,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,200,141,-
643,b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,320,0,-
644,a,52.5,7,u,g,aa,h,3,f,f,0,f,g,0,0,-
645,b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,309,2,-
646,b,37.33,2.665,u,g,cc,v,0.165,f,f,0,t,g,0,501,-
647,a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0,351,-
648,b,24.08,9,u,g,aa,v,0.25,f,f,0,t,g,0,0,-
649,b,25.58,0.335,u,g,k,h,3.5,f,f,0,t,g,340,0,-
650,a,35.17,3.75,u,g,ff,ff,0,f,t,6,f,g,0,200,-
651,b,48.08,3.75,u,g,i,bb,1,f,f,0,f,g,100,2,-
652,a,15.83,7.625,u,g,q,v,0.125,f,t,1,t,g,0,160,-
653,a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144,0,-
654,b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,100,68,-
655,a,23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,200,11,-
656,a,21.08,5,y,p,ff,ff,0,f,f,0,f,g,0,0,-
657,b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,416,21,-
658,a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,0,390,-
659,a,15.75,0.375,u,g,c,v,1,f,f,0,f,g,120,18,-
660,a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40,154,-
661,b,22.25,9,u,g,aa,v,0.085,f,f,0,f,g,0,0,-
662,b,29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,216,0,-
663,a,23.5,1.5,u,g,w,v,0.875,f,f,0,t,g,160,0,-
664,b,32.08,4,y,p,cc,v,1.5,f,f,0,t,g,120,0,-
665,b,31.08,1.5,y,p,w,v,0.04,f,f,0,f,s,160,0,-
666,b,31.83,0.04,y,p,m,v,0.04,f,f,0,f,g,0,0,-
667,a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180,0,-
668,a,17.92,0.54,u,g,c,v,1.75,f,t,1,t,g,80,5,-
669,b,30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,252,0,-
670,b,51.83,2.04,y,p,ff,ff,1.5,f,f,0,f,g,120,1,-
671,b,47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,465,150,-
672,b,25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,0,2,-
673,a,50.25,0.835,u,g,aa,v,0.5,f,f,0,t,g,240,117,-
674,?,29.5,2,y,p,e,h,2,f,f,0,f,g,256,17,-
675,a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,260,246,-
676,a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,240,237,-
677,a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,129,3,-
678,b,19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,100,1,-
679,a,17.92,10.21,u,g,ff,ff,0,f,f,0,f,g,0,50,-
680,a,20.08,1.25,u,g,c,v,0,f,f,0,f,g,0,0,-
681,b,19.5,0.29,u,g,k,v,0.29,f,f,0,f,g,280,364,-
682,b,27.83,1,y,p,d,h,3,f,f,0,f,g,176,537,-
683,b,17.08,3.29,u,g,i,v,0.335,f,f,0,t,g,140,2,-
684,b,36.42,0.75,y,p,d,v,0.585,f,f,0,f,g,240,3,-
685,b,40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,400,0,-
686,b,21.08,10.085,y,p,e,h,1.25,f,f,0,f,g,260,0,-
687,a,22.67,0.75,u,g,c,v,2,f,t,2,t,g,200,394,-
688,a,25.25,13.5,y,p,ff,ff,2,f,t,1,t,g,200,1,-
689,b,17.92,0.205,u,g,aa,v,0.04,f,f,0,f,g,280,750,-
690,b,35,3.375,u,g,c,h,8.29,f,f,0,t,g,0,0,-
